,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2026-05-31,-381178.396072,0.224223,194000000.0,-1700000.0,-1700000.0,94800000.0,57200000.0,582900000.0,192300000.0,135100000.0,-12900000.0,12900000.0,96118821.603928,87300000.0,1426300000.0,122200000.0,389629216.0,385982038.0,0.22,0.23,87300000.0,87300000.0,87300000.0,87300000.0,-7500000.0,94800000.0,27400000.0,122200000.0,-600000.0,1100000.0,-13500000.0,,,13500000.0,11800000.0,-12900000.0,12900000.0,135700000.0,843400000.0,843400000.0,595400000.0,248000000.0,248000000.0,979100000.0,582900000.0,1562000000.0,1562000000.0
2026-02-28,5488000.0,0.224,272400000.0,24500000.0,24500000.0,177100000.0,55600000.0,664200000.0,296900000.0,241300000.0,-13100000.0,13100000.0,158088000.0,175800000.0,1535900000.0,198700000.0,394196801.0,389907760.0,0.45,0.45,175800000.0,175800000.0,175800000.0,175800000.0,-1300000.0,177100000.0,51100000.0,228200000.0,34700000.0,10200000.0,25100000.0,-33000000.0,,7900000.0,-600000.0,-13100000.0,13100000.0,206600000.0,871700000.0,871700000.0,630000000.0,241700000.0,241700000.0,1078300000.0,664200000.0,1742500000.0,1742500000.0
2025-11-30,368142.929039,0.193759,265100000.0,1900000.0,1900000.0,160200000.0,54900000.0,693000000.0,267000000.0,212100000.0,-13400000.0,13400000.0,158668142.929039,158000000.0,1552800000.0,210600000.0,397162529.0,392283580.0,0.4,0.4,158000000.0,158000000.0,158000000.0,158000000.0,-2200000.0,160200000.0,38500000.0,198700000.0,-900000.0,-2800000.0,-2400000.0,,0.0,2400000.0,4300000.0,-13400000.0,13400000.0,213000000.0,859800000.0,859800000.0,629700000.0,230100000.0,230100000.0,1072800000.0,693000000.0,1765800000.0,1765800000.0
2025-08-31,-1904865.556978,0.21895,229200000.0,-8700000.0,-8700000.0,122000000.0,51800000.0,591800000.0,220500000.0,168700000.0,-12500000.0,12500000.0,128795134.443022,218100000.0,1367400000.0,167400000.0,399529649.0,395659040.0,0.55,0.55,218100000.0,218100000.0,218100000.0,218100000.0,96100000.0,122000000.0,34200000.0,156200000.0,-7300000.0,1400000.0,-8600000.0,,0.0,8600000.0,-100000.0,-12500000.0,12500000.0,176000000.0,775600000.0,775600000.0,543300000.0,232300000.0,232300000.0,951600000.0,591800000.0,1543400000.0,1543400000.0
2025-05-31,-692585.365854,0.223415,167800000.0,-3100000.0,-3100000.0,79600000.0,50400000.0,540200000.0,164700000.0,114300000.0,-11800000.0,11800000.0,82007414.634146,67000000.0,1331200000.0,108000000.0,399048949.0,396411904.0,0.17,0.17,67000000.0,67000000.0,67000000.0,67000000.0,-12600000.0,79600000.0,22900000.0,102500000.0,-500000.0,2600000.0,-6800000.0,,,6800000.0,3700000.0,-11800000.0,11800000.0,114800000.0,791000000.0,791000000.0,558900000.0,232100000.0,232100000.0,905800000.0,540200000.0,1446000000.0,1446000000.0
2024-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
